Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49,Cluster
0,0.6604,0.5652,0.619,0.8726,0.3111,0.4798,0.144,0.4038,0.3106,0.6596,0.936,0.5641,0.2665,0.6944,0.5859,0.4113,0.6153,0.4993,0.6014,0.4303,0.7046,0.5628,0.3565,0.6386,0.3947,0.5738,0.6414,0.3113,0.5833,0.3972,0.4955,0.7856,0.8733,0.3186,0.2017,0.9037,0.6099,0.7003,0.976,0.309,0.4425,0.2705,0.6561,0.3396,0.6266,0.1418,0.479,0.6886,0.1088,0.2693,1
1,-5.1561,-7.0077,0.4579,-0.1053,-1.5866,-3.5282,-4.4572,-4.2249,-4.0009,-5.1355,-1.4865,-7.513,-3.3023,-6.092,-3.0384,-4.6631,-0.0694,-7.7182,-70.0,-3.4026,-0.7426,-6.3269,-6.8993,-70.0,0.1129,-3.7256,-6.791,-2.117,-1.1184,-5.8845,-5.0556,0.4876,-4.0914,-70.0,-1.2791,-1.2488,0.7785,-3.9194,-2.4587,0.8117,-8.0327,-7.4215,-4.9613,0.2683,-1.4298,-70.0,0.3289,-5.7353,-6.8591,-7.0733,1
2,-12.149,-9.2681,-1.5725,-3.9536,-2.181,-4.9214,-7.9175,-8.2311,-12.1875,-8.7964,-1.6301,-12.1834,-4.5283,-5.8605,-5.353,-10.0801,-7.375,-14.5404,-70.0,-6.1636,-8.3211,-7.7307,-11.0861,-70.0,-70.0,-8.2598,-6.3242,-6.7167,-6.6925,-13.4373,-4.8646,-6.6917,-6.3478,-70.0,-4.176,-7.9469,-4.69,-7.3486,-1.2683,-5.8294,-9.6378,-5.6258,-4.7539,-4.0211,-2.4138,-70.0,-5.9597,-10.1546,-12.3057,-14.6955,1
3,-13.4033,-10.3077,-8.9096,-2.2856,-1.765,-7.6912,-13.7669,-9.8359,-19.2394,-14.5138,-6.0172,-19.6171,-10.0116,-13.9825,-7.5674,-8.6994,-11.0338,-21.798,-70.0,-10.3533,-16.0394,-7.7978,-18.5956,-70.0,-70.0,-8.4014,-12.0237,-6.1898,-11.4742,-12.0583,-11.0252,-12.0295,-6.0246,-70.0,-11.5131,-7.1185,-3.0182,-9.1317,-7.8702,-9.0907,-14.2526,-8.6291,-5.9765,-4.6385,-9.0754,-70.0,-5.2714,-8.5756,-16.147,-14.1837,1
4,-19.0174,-8.8908,-13.0049,-3.3179,-1.9282,-7.8364,-12.7644,-14.453,-24.5078,-21.9974,-6.9842,-18.1965,-15.8827,-20.4791,-13.1711,-7.709,-18.8989,-21.6044,-65.6391,-15.6333,-16.091,-11.2188,-21.9268,-70.0,-70.0,-7.2565,-12.2855,-13.4629,-15.9322,-15.4115,-13.8783,-17.64,-6.9581,-69.9922,-12.0953,-14.0359,-2.2935,-10.791,-7.4425,-11.2861,-12.8799,-8.6012,-10.0035,-11.1596,-10.8003,-70.0,-5.649,-10.6532,-15.5696,-19.0613,1
5,-18.7058,-11.6426,-20.3493,-2.7728,-5.2043,-13.9171,-15.4037,-16.3373,-26.1266,-24.235,-11.1802,-16.9528,-20.7532,-25.0811,-19.6845,-6.7831,-23.788,-24.4121,-65.4832,-22.9914,-22.2869,-18.5682,-23.1235,-70.0,-70.0,-7.7914,-19.7512,-18.3105,-13.8718,-22.0621,-17.5415,-18.9475,-12.149,-70.0,-15.1105,-13.863,-0.7819,-18.1124,-8.7277,-11.4751,-16.9215,-11.1718,-9.1586,-9.9369,-12.4314,-70.0,-5.5696,-12.3423,-21.481,-18.038,1
6,-18.0801,-14.863,-25.4371,-6.4888,-11.8508,-19.6225,-14.6891,-23.4154,-33.0915,-22.6209,-14.9742,-18.5457,-25.0605,-27.5286,-20.7396,-8.1055,-22.5727,-26.1215,-61.0547,-26.1078,-21.8894,-21.3438,-20.6033,-68.3157,-70.0,-14.6628,-21.1708,-23.4707,-20.9563,-28.6929,-16.0875,-26.0115,-18.2935,-70.0,-18.2424,-17.421,-2.9576,-17.8659,-7.059,-10.5522,-17.2353,-13.6362,-16.4985,-16.3182,-14.9401,-70.0,-13.4731,-19.1207,-19.4756,-16.8098,1
7,-16.65,-15.4812,-30.0187,-8.5014,-15.6974,-18.3317,-19.3574,-24.0699,-32.1893,-24.6543,-16.1412,-17.6458,-30.1365,-25.3407,-26.3382,-14.4798,-22.9206,-32.1037,-66.3633,-30.2861,-24.5551,-24.4783,-25.8381,-70.0,-68.3089,-18.4876,-24.8785,-21.2528,-22.0101,-25.9099,-14.358,-25.7262,-23.6829,-67.4956,-23.0325,-18.8103,-10.0526,-17.1367,-9.8799,-12.796,-24.7878,-18.1656,-17.1228,-19.0022,-20.6533,-70.0,-16.6168,-23.4029,-25.5187,-20.0928,1
8,-20.1923,-17.6382,-31.9698,-8.3003,-22.2063,-16.5846,-24.8642,-24.2076,-33.3795,-30.4656,-19.2745,-21.7176,-30.5373,-25.2288,-26.3175,-14.822,-27.8082,-34.8629,-64.1008,-27.5594,-25.7954,-26.4472,-27.3502,-66.1456,-66.9191,-19.0638,-26.773,-24.645,-25.9623,-31.5828,-17.9399,-29.2941,-24.0551,-65.6465,-29.5023,-25.3746,-9.2577,-16.3123,-13.2892,-15.3999,-22.6221,-17.9739,-20.9566,-17.5641,-19.8436,-67.5937,-22.5211,-27.6248,-29.5977,-25.6482,1
9,-23.7484,-21.0633,-38.3129,-15.0944,-23.5165,-18.0022,-23.6612,-30.3737,-31.0965,-27.8839,-20.0146,-27.3802,-32.7602,-27.8114,-29.6296,-15.881,-33.0423,-34.8445,-67.4159,-30.1827,-27.1459,-29.2359,-33.0488,-65.4499,-70.0,-26.2172,-27.9531,-22.5418,-23.7447,-35.744,-25.0629,-32.8071,-26.0592,-61.9605,-27.4455,-29.1551,-8.4661,-14.2127,-12.647,-18.6911,-24.0261,-15.83,-24.3112,-15.2161,-26.61,-64.8159,-25.8264,-24.9061,-28.8446,-28.6374,1
10,-26.6112,-26.2966,-42.8551,-15.2591,-21.1003,-15.7495,-22.7523,-33.9872,-30.6549,-34.7639,-19.6259,-28.3066,-33.225,-31.9337,-33.912,-20.9207,-38.8253,-37.6172,-69.1591,-31.275,-32.2178,-31.9346,-38.7998,-69.8795,-70.0,-26.9243,-25.6361,-27.5804,-21.7614,-36.4961,-25.3329,-37.0263,-30.2806,-63.306,-30.79,-27.9128,-16.0258,-13.3595,-13.8481,-21.2499,-29.7159,-14.5556,-30.0,-21.3718,-28.8145,-66.6236,-30.4644,-30.7365,-29.7265,-28.8208,1
11,-29.0023,-29.1555,-42.2633,-21.1362,-19.4189,-18.3562,-25.6439,-39.6298,-31.9093,-39.0193,-20.4484,-29.1393,-35.7673,-35.3178,-40.1938,-28.1136,-42.8296,-41.754,-70.0,-32.042,-31.0874,-30.003,-43.7474,-70.0,-69.3602,-32.7024,-25.5683,-33.5789,-21.0889,-40.6945,-25.7655,-42.8741,-28.5737,-65.8614,-33.4057,-25.947,-21.7336,-18.2036,-20.1054,-25.0396,-34.443,-15.4079,-30.5254,-20.8916,-28.6529,-70.0,-30.9686,-29.7224,-27.4506,-26.8126,1
12,-29.3415,-27.762,-48.4909,-18.5898,-21.7078,-25.2357,-27.1846,-40.0567,-32.3973,-42.4714,-24.3099,-31.3547,-33.5809,-40.0769,-44.7653,-33.3524,-47.5811,-38.4587,-70.0,-36.4598,-33.693,-28.4594,-43.3398,-67.9249,-66.6329,-38.11,-31.0665,-31.8002,-23.1272,-41.1199,-24.2401,-43.0974,-34.7772,-67.2634,-31.7552,-31.1322,-26.6598,-23.4938,-24.6384,-26.8896,-34.9478,-16.6996,-36.9873,-23.3474,-33.8747,-70.0,-37.2582,-30.4462,-25.9624,-32.6855,1
13,-27.7375,-34.3536,-48.977,-23.7616,-23.1996,-30.8099,-29.1864,-37.6901,-32.9067,-41.7375,-22.9658,-35.7184,-32.4333,-36.968,-49.4804,-33.7937,-45.1955,-43.4444,-66.7559,-42.086,-40.1745,-34.2753,-42.6218,-66.9797,-65.1075,-43.7164,-35.7781,-35.0918,-23.7935,-43.3563,-30.587,-40.9734,-40.0617,-64.4625,-35.7765,-32.8066,-32.4407,-21.7007,-26.5448,-29.6089,-38.1954,-14.8036,-35.4319,-30.0711,-39.5311,-69.3166,-41.5309,-29.5216,-30.0536,-37.4425,1
14,-31.9152,-39.3247,-49.805,-21.2031,-27.4139,-37.5614,-35.7817,-39.4256,-37.1132,-43.6136,-27.4231,-35.9243,-35.3815,-37.6483,-48.9052,-30.901,-42.5453,-45.4733,-62.7322,-40.3428,-43.7889,-34.1723,-48.5248,-63.3089,-61.096,-48.7416,-32.6671,-33.2325,-29.8177,-44.1867,-33.1088,-38.7263,-42.089,-67.674,-34.553,-39.2003,-29.8188,-19.7779,-30.1622,-28.6491,-36.3381,-20.8509,-41.1329,-34.6045,-39.439,-65.0773,-38.8999,-36.2009,-31.254,-40.9093,1
15,-34.8653,-42.5118,-48.3468,-24.9692,-33.7364,-37.7592,-32.5942,-43.6591,-39.1179,-45.1558,-31.1651,-36.9846,-38.0174,-38.6716,-45.4224,-35.8626,-43.6394,-45.2292,-59.4684,-46.031,-46.705,-33.8756,-48.5836,-67.9327,-58.4623,-45.9299,-34.7498,-34.9563,-32.0501,-44.4067,-34.1107,-42.4765,-41.2931,-70.0,-31.4749,-37.2051,-27.6768,-19.5647,-35.7535,-33.8743,-36.9429,-26.352,-46.8618,-32.7383,-42.3211,-68.4059,-36.0511,-40.6904,-31.6096,-42.6836,1
16,-39.3179,-48.3555,-45.0436,-25.6382,-38.7531,-37.7143,-36.8847,-47.7013,-35.8136,-50.7358,-36.9394,-36.374,-38.3572,-43.6894,-46.0536,-36.3617,-48.6507,-47.9545,-55.3931,-51.8802,-50.5378,-35.2656,-46.8609,-70.0,-59.086,-46.9676,-37.244,-36.4635,-34.7334,-49.6585,-38.0228,-42.858,-43.3786,-70.0,-37.6154,-40.1815,-32.189,-26.3901,-40.0881,-34.304,-43.2021,-31.5867,-43.0612,-30.3963,-40.4106,-70.0,-38.396,-45.5894,-30.0465,-43.226,1
17,-36.0308,-45.303,-41.7218,-32.1419,-40.0505,-39.5505,-42.7199,-46.9146,-42.2157,-55.7855,-38.6358,-42.2288,-36.1682,-47.2412,-46.3322,-41.7011,-54.5144,-52.1258,-56.9615,-50.1281,-47.2254,-32.2527,-49.8091,-69.6041,-60.516,-46.049,-40.5426,-35.9013,-32.0937,-54.3413,-35.4397,-42.1504,-40.8748,-65.1058,-35.4933,-36.9541,-37.4096,-32.7295,-43.3667,-36.5957,-48.3455,-35.8041,-42.7905,-29.2772,-37.6672,-68.4841,-41.5742,-46.0258,-31.4243,-42.8771,1
18,-41.2341,-45.1631,-40.2304,-32.5312,-45.6969,-40.0939,-39.1709,-44.63,-44.4284,-56.7537,-44.4644,-40.2772,-33.9662,-52.6251,-51.8881,-46.4714,-58.8614,-48.7359,-53.236,-48.6253,-52.6678,-36.4018,-49.4293,-64.7653,-57.5302,-48.4663,-44.7221,-41.4607,-34.8483,-59.5752,-41.9241,-41.1132,-42.3608,-68.992,-32.8906,-36.923,-42.2851,-38.8712,-43.1782,-42.6035,-51.1063,-40.6055,-39.5986,-32.1331,-36.1378,-68.7867,-40.7809,-51.9024,-32.7853,-42.474,0
19,-46.0615,-49.5991,-40.2218,-35.0387,-43.4633,-40.7026,-38.5655,-46.4509,-44.0034,-55.1189,-45.5329,-37.1732,-39.6415,-54.9213,-56.872,-51.5191,-62.5236,-50.1123,-53.8472,-44.9017,-54.3781,-36.6876,-52.0014,-65.5077,-60.7804,-47.6176,-50.3971,-43.7971,-33.8837,-64.7036,-47.1141,-38.5389,-45.4684,-70.0,-31.9034,-34.4637,-45.3241,-41.6893,-47.5153,-47.946,-50.4707,-46.3161,-39.7107,-38.2913,-34.4884,-70.0,-39.9935,-53.3543,-36.7706,-48.1026,0
20,-50.1226,-48.5212,-45.4606,-41.3996,-43.0158,-44.2772,-40.6181,-44.5263,-47.886,-60.1954,-46.7203,-36.5565,-38.6954,-60.2139,-62.1711,-52.7027,-58.7941,-55.4673,-49.8787,-44.9101,-58.4893,-34.6843,-55.0716,-69.5677,-59.1686,-45.6135,-55.863,-41.7064,-35.0063,-68.8243,-48.0614,-39.9848,-46.9752,-70.0,-32.6819,-40.2287,-45.1399,-45.6215,-44.34,-48.0385,-49.9987,-48.2741,-36.9242,-34.9056,-39.0855,-68.7866,-42.5786,-54.3274,-39.3821,-51.2343,0
21,-51.8794,-49.1044,-45.0235,-44.8172,-39.863,-42.8856,-47.0179,-44.3506,-46.4411,-58.7229,-50.1453,-36.3742,-39.1797,-63.9741,-67.3099,-57.2995,-61.2949,-58.2794,-51.904,-48.0892,-58.5751,-39.8716,-57.8701,-68.7086,-56.7205,-47.3852,-59.0581,-43.94,-40.8968,-66.9105,-48.3712,-39.7359,-50.4849,-70.0,-38.7488,-44.8688,-43.5802,-42.3719,-46.9983,-46.8601,-46.8514,-45.672,-37.6678,-34.0979,-41.9493,-70.0,-40.5848,-52.8038,-41.2353,-48.3668,0
22,-51.9679,-52.1795,-50.439,-45.5078,-38.9972,-39.6813,-48.85,-44.0095,-46.9864,-58.8111,-53.8927,-34.2387,-37.1572,-63.0462,-70.0,-56.8214,-58.7203,-58.4926,-53.1773,-44.3615,-57.4796,-41.7679,-62.1391,-69.9394,-58.4759,-49.3979,-54.6806,-48.0564,-43.1198,-64.1924,-46.7146,-41.9946,-49.0307,-68.5413,-37.0256,-46.9855,-45.4055,-45.9895,-47.2438,-48.7649,-51.236,-49.1358,-34.4131,-31.9101,-39.4635,-68.2877,-42.2394,-49.9348,-41.6202,-46.1996,0
23,-53.6864,-52.3203,-46.9391,-44.92,-41.8757,-39.7768,-48.9556,-44.3911,-52.3056,-62.0227,-55.5833,-31.4858,-39.3157,-61.7849,-66.078,-56.4933,-58.754,-58.1748,-57.9288,-42.2105,-59.1206,-38.2679,-65.6614,-66.5034,-56.825,-46.7427,-60.2452,-48.7771,-42.9056,-64.2814,-50.9844,-40.7356,-46.7495,-67.2064,-38.7728,-47.8456,-42.392,-45.6495,-51.4898,-52.6155,-48.5053,-53.2637,-33.2174,-31.3295,-40.6598,-70.0,-46.3285,-54.5416,-39.2153,-51.7033,0
24,-51.7355,-52.0216,-44.6095,-49.5574,-43.6912,-43.2786,-45.4441,-45.0425,-55.2792,-61.526,-54.0392,-36.9644,-36.5326,-60.1763,-65.6149,-57.3723,-62.4546,-61.368,-59.2718,-47.6178,-62.3353,-36.1411,-65.6727,-70.0,-55.8413,-47.331,-56.7931,-47.3824,-47.7821,-66.7225,-51.8583,-46.2147,-44.0985,-64.9028,-43.671,-47.6669,-47.1631,-49.9961,-50.7032,-49.5264,-48.6401,-57.1683,-38.73,-28.6439,-44.2094,-70.0,-51.7153,-56.6733,-36.1574,-51.7066,0
25,-49.5394,-54.0032,-44.0432,-47.417,-48.1629,-40.1198,-45.7779,-44.6945,-51.3483,-60.4381,-50.2254,-36.932,-39.9691,-63.1708,-70.0,-61.6199,-61.8543,-58.8663,-60.0277,-53.0222,-63.1579,-33.7759,-69.3722,-69.2743,-53.7911,-46.3138,-54.2129,-49.0501,-53.3867,-70.0,-56.3114,-45.8921,-49.0565,-60.6556,-42.0847,-49.764,-52.0243,-46.7105,-51.9799,-46.112,-53.4877,-55.8147,-38.2829,-26.3478,-46.3853,-67.3162,-55.4643,-55.0793,-41.4449,-57.4761,0
26,-49.1252,-57.2323,-42.2178,-45.7424,-53.6154,-44.0544,-45.6631,-42.5787,-47.8287,-57.9975,-55.5946,-37.9235,-36.8029,-67.7665,-70.0,-57.9027,-62.2528,-59.3065,-61.1487,-55.2081,-59.3439,-39.0077,-67.2043,-70.0,-50.2703,-47.3257,-52.589,-49.3843,-57.7546,-69.2404,-58.8219,-45.9427,-52.1564,-64.8198,-40.9774,-51.9071,-55.7295,-51.8886,-50.9953,-44.1783,-49.4044,-59.3987,-42.8569,-31.1074,-49.9626,-66.6254,-53.8841,-58.9563,-44.9509,-62.6058,0
27,-46.2624,-55.4282,-43.4139,-51.1957,-56.0187,-43.2637,-43.2637,-42.079,-51.485,-62.0152,-60.3591,-40.1194,-36.8046,-70.0,-68.2017,-60.9727,-63.8819,-60.5409,-65.6154,-52.3572,-59.6338,-41.9111,-70.0,-67.1056,-52.8116,-45.3119,-55.4919,-51.7745,-60.8416,-70.0,-64.1155,-47.9948,-51.6504,-64.0503,-38.7384,-57.7692,-56.4275,-51.9453,-55.6717,-43.8214,-52.5566,-57.5078,-42.5001,-32.6002,-48.4383,-64.1428,-51.0238,-59.6896,-41.5173,-60.9289,0
28,-48.2301,-57.0473,-40.2445,-55.359,-61.1505,-47.95,-45.0672,-43.3863,-54.3519,-58.5075,-59.3908,-37.7854,-43.4238,-66.0366,-64.4818,-66.058,-65.4361,-58.1354,-68.5932,-55.7416,-61.6884,-39.6478,-70.0,-62.6567,-54.7619,-49.5069,-60.7791,-49.0337,-61.2681,-66.4782,-65.4929,-44.6047,-55.6395,-63.4608,-45.2019,-57.0671,-59.4994,-49.2024,-51.6479,-47.6358,-49.2224,-60.5814,-40.4392,-30.9898,-49.7485,-64.2207,-50.8238,-58.4244,-44.9437,-66.1585,0
29,-46.0859,-57.2421,-43.0219,-55.8233,-58.3205,-50.7644,-48.2222,-44.7267,-57.2162,-62.0308,-60.4982,-35.0022,-49.2537,-67.8499,-64.1935,-62.5004,-65.7336,-55.1363,-70.0,-55.4293,-62.0184,-36.1929,-66.9831,-58.8129,-59.6075,-47.8321,-57.5721,-51.9672,-64.6102,-68.2446,-66.458,-49.3145,-53.9974,-67.2203,-47.5246,-54.0678,-56.0166,-52.7827,-57.3526,-47.3987,-52.702,-56.2592,-40.9164,-37.6765,-52.8691,-64.7281,-48.7228,-56.6527,-45.1108,-69.4045,0
30,-45.7512,-59.5671,-43.8667,-54.5044,-60.4256,-51.1983,-53.9246,-49.6695,-60.473,-66.2348,-65.8491,-41.0708,-47.839,-63.289,-68.4308,-66.6003,-69.1745,-51.8013,-65.6358,-57.5583,-63.7654,-37.4708,-63.8021,-58.8496,-55.3598,-47.2459,-59.6339,-55.4279,-62.325,-63.9346,-64.3608,-54.6046,-58.3498,-66.3513,-52.5158,-52.9489,-54.7466,-53.0342,-60.4492,-43.9674,-58.1926,-55.7075,-44.91,-44.124,-53.8845,-66.2762,-48.2417,-58.0426,-48.8055,-70.0,0
31,-45.8512,-55.7118,-40.3948,-57.4362,-63.3464,-48.8216,-55.1909,-47.6774,-64.0973,-66.8588,-70.0,-42.7243,-46.2021,-58.6633,-69.9749,-69.4543,-70.0,-53.0294,-62.4313,-58.896,-59.3749,-37.0993,-61.819,-58.4982,-55.3322,-52.0347,-56.9557,-58.3317,-60.0676,-64.341,-62.3647,-53.5207,-58.513,-69.6707,-49.1049,-49.8522,-53.3016,-53.9609,-57.5012,-43.8924,-56.5374,-51.4506,-47.6721,-49.6894,-57.257,-65.7278,-49.5201,-61.2532,-52.2775,-70.0,0
